YEAR,N_RECORDS,TOTAL_RELEASE_SUM_LBS,MEAN_RELEASE_LBS,MEDIAN_RELEASE_LBS,N_UNIQUE_FACILITIES,N_UNIQUE_CHEMICALS,N_FORM_A,N_ZERO_RELEASE
2010,4021,104143169.624,25899.818359612036,200.2,1089,234,462,853
2011,4053,106561011.959,26291.8855067851,195.0,1083,236,436,846
2012,4096,108899054.389,26586.683200439453,162.0,1118,237,418,852
2013,4120,110925617.095,26923.693469660193,122.525,1125,234,451,914
2014,4130,111301462.679,26949.506701937047,127.445,1104,239,464,907
2015,4068,106272552.014,26124.02950196657,113.96000000000001,1104,234,462,881
2016,3876,100213546.988,25854.888283797733,115.67,1068,228,426,810
2017,4022,99605954.007,24765.27946469418,85.0,1068,229,452,878
2018,4003,117547327.439,29364.80825355983,73.0,1054,248,445,892
2019,3912,92190427.086,23566.06009355828,79.6,1028,247,440,858
2020,3687,62498944.295,16951.164712503392,95.0,975,235,398,793
2021,3721,64968856.468,17460.052799785004,88.0,978,233,406,827
2022,3667,62533239.224,17052.96951840742,80.0,982,229,405,814
2023,3509,55626631.743,15852.559630379026,77.95,977,230,380,746
2024,3432,53835233.267,15686.256779428904,95.075,942,234,366,707
